0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Information security requirements regarding the handling of event logs are determined and implemented.
+ Where externally operated services (e.g. cloud services) are used, information on event-logging options are obtained.
 - e.g. attack detection and report options (incident response)
+ Legal requirements such as storage durations and protection of personal rights are observed.
+ Rules and procedures for fulfilling the determined requirements are defined and implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,+ Event logs are protected against modification during storage.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ Information security requirements relevant to the security during the handling of event logs, e.g. contractual requirements, are determined and implemented.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
12.6,12.6 Logging administrational activities,3,(Reference to ISO 27001: Control A.12.4.3),1,1,,1,2,4.1.0
,,,,,,,,,
,,,"<h1>To what extent are the activities of system administrators and system operators logged, the logs protected against modification and regularly reviewed?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,System administrators and operators can use their comprehensive access rights to modify IT systems significantly. Logging and analyzing activities in accordance with applicable legislation (such as Data Protection and Works Constitution Act) are required to enable determining who has made changes to IT systems in case of information security events.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Security-relevant requirements regarding the logging of activities of system administrators and operators are determined and implemented.
+ The IT systems used are assessed regarding the necessity of logging.
+ Where externally operated services (e.g. cloud services) are managed, information on event-logging options are obtained and taken into account in the assessment.
 - e.g. audit logs for configuration changes and use of/access to e-discovery functions or backup.
+ Procedures for handling violations of regulations are defined.
+ Logs are regularly reviewed for violation of rules in accordance with permissible legal and operational provisions.
+ The type of logging with respect to time, activity level and storage durations is defined and implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A process to report violations to the authorized body (e.g. CERT) is established.
+ The log files are protected against alterations (e.g. by means of a dedicated environment).",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ Cases of access to external services during connection and disconnection (e.g. remote maintenance) are logged.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,"+ Logging of all cases of access
  - as far as technically feasible
  - to data of very high protection needs.",,,,,,
,,,,,,,,,
12.7,12.7 Prosecution of vulnerability (patch management),3,(Reference to ISO 27001: Control A.12.6.1 and A.12.6.2),1,1,,3,4,4.0.0
,,,,,,,,,
,,,"<h1>To what extent is information regarding technical vulnerabilities of IT systems acquired at an early stage, evaluated and are appropriate measures taken (e.g. patch management)?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Known vulnerabilities increase the risk that IT systems can no longer fulfil the requirements regarding confidentiality, availability and integrity if they allow attackers to access the IT system or compromise the stability of the system.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Information on technical vulnerabilities of the used assets are collected and assessed.
+ Potentially affected systems and software (assets) are identified (e.g. manufacturer, version, installation site).",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ An adequate patch management is defined and implemented
(e.g. patch testing and installation). + Where required, risk mitigating measures should be implemented. This includes e.g.:
  - separation of affected systems
  - shut-down of the affected service
  - adjustment of access options, e.g. firewalls
  - adjustment of monitoring
  -increasing user awareness",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
12.8,12.8 Review of information systems,3,"(Reference to ISO 27001: Control A.12.7.1, A.18.2.3)",1,1,,1,2,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are audit requirements and activities for reviewing IT systems planned, coordinated, aligned and are those IT systems subsequently subjected to technical review (system audit)?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"During audits (particularly technical audits), problems with the stability of the IT systems under review may occur. Audit activities involving a review of IT systems should be planned and agreed in order to avoid disturbances of the affected processes.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Requirements for auditing IT systems are determined.
+ The scope of the audit is specified in a timely manner.
+ System audits are coordinated with the operator and users of IT systems.
+ The results of system audits are stored in a traceable manner and reported to the relevant management.
+ Measures are derived from the results.
+ The derived measures are traced under the ISMS.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ System audits are carried out by trained experts.
+ For deviations, measures to be taken within an adequate period of time shall be defined and coordinated.
+ The audit report shall have been prepared and coordinated within an adequate period of time.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
12.9,12.9 Consideration of critical administrative functions of cloud services,3,(Reference to ISO 27017: Control CLD.12.1.5),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent have effects due to critical functions of cloud services been taken into account?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Many cloud services provide functions which may lead to major changes to services in operative use. These functions may jeopardize the confidentiality of information, be irreversible or reversible only with significant effort which then may impair availability or integrity. These functions are often provided to administrative users via an easy-to-use automated configuration interface. When an administrative user is executed, such activities are carried out without further human supervision.
It shall be ensured that such functions can neither inadvertently nor by a wilful administrator be used without particular effort to cause harm impairing confidentiality, availability or integrity.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Critical functions of all relevant services are identified and assessed.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Critical administrative functions of all relevant IT services are documented including their associated risk. Here, among others, the following aspects (where applicable) have been considered:
 - installation, modification or deletion of virtual resources (e.g. virtual servers, virtual networks and virtual storage)
 - termination of services (cancellation)
 - authorization of more users
 - release and publication functions
 - backup and recovery functions
+ The options to counteract by means of configuration and allocation of rights are known and documented.
+ The resulting risks are minimized by means of configuration and allocation of rights.
 - As far as reasonable, critical non-administrative functions have been restricted.
+ An emergency concept describing the handling of harm scenarios exists and has been tested.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ Application of the several-eyes principle for critical functions.
+ Contractually agreed restriction of functionality by the provider (e.g. by means of suitable framework contracts).",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
13,13 Communications Security,,,,,,,,4.0.0
13.1,13.1 Management of networks,3,(Reference to ISO 27001: Control A.13.1.1),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are networks managed and controlled to protect information in IT systems and applications?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The protection of information in networks, IT systems and IT applications shall be ensured. For this purpose, measures ensuring protection against unauthorized access shall be implemented. This includes taking suitable control measures supported by means of monitoring the networks, IT systems and IT applications.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Procedures for the management and control of networks are defined.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Requirements for control and management of networks are determined and implemented. This includes e.g.:
  - restrictions for connection of IT systems to the network
  - special protective measures in case of network connections via potentially unsecured networks (e.g. encryption)
  - adequate monitoring and recording of activities on a network that are relevant to information security
  - use of auxiliary means such as firewall systems, intrusion detection and prevention systems (IDS/IPS), network management tools, security software for networks
  - When using externally operated network services that are accessible via the internet (cloud services), the resulting increased risk is assessed and addressed in the applications.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ Extended requirements for the control and management of networks are determined and implemented.
This includes e.g.:
  - authentication of IT systems within the network",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
13.2,13.2 Security requirements for networks/services,3,(Reference to ISO 27001: Control A.13.1.2),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are requirements for security mechanisms and service levels and also management requirements for network services identified and documented in service level agreements?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Security mechanisms, quality of service provision and requirements for the management of all network services shall be determined and incorporated into agreements (Service Level Agreements, SLAs) for both internal and external networks.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Requirements regarding the information security of network services are determined and implemented.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Procedures for securing and using network services are defined and implemented.
+ SLAs are defined and implemented for internally and externally operated network services.
+ Adequate redundancy solutions are implemented.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None..,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ Procedures for monitoring the network (e.g. traffic flow analyses, availability measurements) are defined and carried out.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,+ Out-of-band management is applied.,,,,,,
,,,,,,,,,
13.3,13.3 Separation of networks (network segmentation),3,(Reference to ISO 27001: Control A.13.1.3),1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are groups of information services, users and information systems segmented on networks? </h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"IT systems on the network usually have different protection needs. Thus, IT systems directly connected to the internet are generally exposed to different dangers than IT systems on the office net. In order to detect and prevent undesired data exchange between IT systems of different protection needs, corresponding groups shall be formed on the network and then segregated from other groups.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Requirements regarding network segmentation are determined.
  - Where cloud services are used, the possibilities of (virtual) networks are considered",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,+ Rules and procedures for network segmentation are defined and implemented.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
13.4,13.4 Electronic exchange of information,3,(Reference to ISO 27001: Control A.13.2.1 and A.13.2.3),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is information protected during exchange or transfer?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"During exchange and transfer of information, the information security requirements shall be observed. For this purpose, it shall be defined which services within the organization may be used for which type of data and which protective measures are to be taken when using those services.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The services (e.g. E-mail, EDI, voice over IP) used for transfer are identified.
+ Rules and procedures in accordance with the classification requirements for the use of services are defined and implemented.
+ Measures for the protection of transferred contents against unauthorized access are implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Measures for ensuring correct addressing and correct transport of the message are implemented.
+ A process for approving the use of external services (e.g. instant messaging, web meeting, webmail) is established.
+ Electronic data exchange is carried out according to the classification by means of content encryption and/or via encrypted transmission paths (e.g. VPN, encrypted connections (HTTPS, SFTP, TLS)).",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,+ Digital signatures are used in accordance with legal provisions.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ E-mails are transmitted by means of transport encryption (e.g. TLS).
+ A suitable encryption is in use during data transfers to externally hosted IT systems (see Controls 10.1, 15.1).",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,"+ E-mails are transmitted by means of end-to-end encryption (e.g. PGP, S/MIME, ZIP encryption).",,,,,,
,,,,,,,,,
13.5,13.5 Non-disclosure agreements for information exchange with third parties,3,(Reference to ISO 27001: Control A.13.2.4),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are non-disclosure agreements applied prior to an information exchange and are the requirements or needs for the protection of information documented and regularly reviewed?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Even where sensitive information is passed on outside the organization, it shall be ensured that external organizations are obliged to meet the information security requirements and to implement the required measures.
 Non-disclosure agreements provide the necessary legal basis for this obligation. Therefore, it shall be ensured that sensitive information is only passed on if a corresponding non-disclosure agreement has been entered and is legally effective.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ All service providers and employees working with sensitive information have entered valid non-disclosure agreements.
+ Rules and procedures for applying non-disclosure agreements are defined and made known to all persons passing on sensitive information.
+ The requirements, rules and procedures for applying non-disclosure agreements are reviewed regularly.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Non-disclosure agreement templates are available and checked for legal applicability.
+ The templates include clear indications regarding:
    - the involved persons/companies
  - the type of information covered by the agreement
  - the subject of the agreement
  - the duration of validity of the agreement (temporary or permanent)
  - the responsibilities of the obligated party
+ The templates contain specifications of the rights of use for information beyond the contractual relationship.
+ Options of proving compliance with specifications (e.g. review by an independent third party or audit rights) are defined.
+ A process for monitoring the duration of validity of temporary agreements and initiating an extension in due time is defined and implemented.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
14,"14 System acquisition, development and maintenance",,,,,,,,4.0.0
14.1,14.1 Requirements for the acquisition of information systems,3,"(Reference to ISO 27001: Control A.14.1.1, A.14.1.2 and A.14.1.3)",1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are security specific requirements taken into account for new IT systems (including publicly accessible systems) and for extensions to existing IT systems?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Information security shall be an integral part of the entire lifecycle of IT systems. This includes in particular that information security requirements are taken into account in the development, acquisition and maintenance of IT systems.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ The information security requirements associated with the acquisition or extension of IT systems are determined.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Requirement specifications are reviewed with respect to information security policies.
+ The IT system is reviewed for compliance with specifications prior to productive use.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
14.2,14.2 Security along the software development process,3,(Reference to ISO 27001: Control A.14.2.1 - A.14.2.9) ,1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are security-relevant aspects considered in the software development process (incl. change management)?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,Information security requirements shall be taken into account in the development process of software and IT systems within an organization. They shall be incorporated as requirements and milestones into the respective process model.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A policy for the development of software and IT systems is created and includes at least the following aspects:
  - information security requirements regarding the development environment
  - information security requirements during the software development lifecycle
  - information security requirements during the design phase
  - information security review points related to project milestones
  - information security during version control and repositories
  - knowledge about information security of application systems
  - requirements for developers regarding the creation of systems/applications under consideration of information security aspects (avoidance, detection and elimination of vulnerabilities)
+ Information security requirements are taken into account in change management.
+ Defined engineering principles for secure system development are defined and implemented.
+ Secure development processes are also defined for cases where systems are created by third parties.
+ System approval tests are carried out under consideration of the information security requirements.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
14.3,14.3 Management of test data,3,(Reference to ISO 27001: Control A.14.3.1) ,1,1,,1,2,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are test data created, protected and used in a careful and controlled manner?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,Test data are often required for testing purposes in the course of software development or change management. Testing is conducted in test environments the access to which is often controlled less strictly and frequently allocated to persons (e.g. service providers or developers) who do not need access to productive data. It shall be ensured that the test environment does not give rise to enhanced risk of loss or disclosure of productive data.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The use of productive data for testing purposes is avoided as far as possible.
+ Where productive data are used for testing purposes, the following shall be ensured:
  - Anonymization or pseudonymization of productive data is carried out in accordance with legal provisions
  - Identical access controls are applied both for the test system and for the productive system
+ Case-specific requirements for the generation of test data are defined.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ Copying of information from the productive environment shall require prior approval by means of a defined process.
+ Immediately after completion of testing, operation-relevant information is removed from the test system.
+ The process of copying and the use of the organization-relevant information as test data are recorded for later review (audit trail).",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
14.4,14.4 Approval of external IT services,3,(Reference to ISO 27017: CLD.14.1.1),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is it ensured that only evaluated and approved external IT services (particularly cloud services) are used for processing company data?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Particularly cloud services the use of which is often related to relatively little or no cost, present an enhanced risk that established acquisition processes are bypassed hence also leading to acquisition and commissioning without adequate compliance with technical and contractual information security requirements. Security cannot be ensured in cases where external IT services are used without considering security requirements.

Therefore, it shall be ensured that external IT services will not be commissioned unless the intended processes are completed and thus the information security processes and provisions are met prior to commissioning.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ All persons having access to sensitive information are aware that the use of external IT services is not permitted without explicit assessment and implementation of the information security requirements.
 - This also includes external IT services which can be used free of charge.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Requirements for the acquisition, commissioning and approval of using external IT services are established.
+ The commissioning and use of external IT services is regulated by instructions binding to all employees.
+ All employees are made aware of this in regular trainings.
 - e.g. during information security trainings held at regular intervals.
+ Observation of the instruction is verified regularly.
+ The approved IT services and their acceptable use have been cataloged.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ Framework contracts with essential cloud service providers are entered allowing the use only in suitable and assessed configurations and informing the responsible persons within the organization.
+ Catalogs of authorized IT services are provided to the respective specialized departments.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ Internal audits are held regularly in order to verify that no unauthorized IT services are used.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
15,15 Supplier Relationships,,,,,,,,4.0.0
15.1,15.1 Risk management in collaboration with suppliers,3,(Reference to ISO 27001: Control A.15.1.1 – A.15.1.3),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are information security requirements contractually agreed with suppliers to mitigate risks when suppliers have access to corporate assets (particularly information and communication services and in case such assets are used by subcontractors)?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"In collaboration with external companies (e.g. subcontractors), the requirements regarding the protection needs of transferred information shall be considered.
 Therefore, relevant risks and requirements regarding information security shall be addressed in the contracts.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ External companies/third parties (e.g. subcontractors) shall be subjected to an information security assessment.
+ Contractual agreements with external companies regarding measures for protecting information (e.g. non-disclosure agreements) are entered.
+ Requirements for other subcontractors of the supplier are taken into account in procurement.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ Information security certification (e.g. ISO/IEC 27001, NIST).",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ A risk assessment is conducted for each commissioning of an external company and additional information security measures are defined.
+ The supplier provides proof of information security (e.g. certificate, attestation).
+ Where a commissioned supplier is also granted access to customer information, contractual obligations shall be observed. This can include:
  - explicit approval of the passing-on, processing and storage of information by the customer
  - measures for procurement control with respect to personally identifiable data (processing ordered by the customer, handling by subcontractors, deletion/disabling etc.)
  - the requirements for the protection of data during transfer, processing and storage (e.g. encryption)
  - provisions for the reaction to information security events are known to the external companies/third parties
+ In case of externally operated IT infrastructure (e.g. networks, server) and/or cloud solutions, it is ensured that:
  - external administrators do not have access to data content
  - the requirements for encryption according to Control 10.1 are met",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
15.2,15.2 Review of service provision by suppliers,3,(Reference to ISO 27001: Control A.15.2.1),1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are the services performed by a supplier or subcontractor monitored, reviewed and audited on a regular basis?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The provision of services by service providers shall be monitored regularly by an organization. By means of monitoring and verifying the provided services, it shall be ensured that the conditions of an agreement regarding information security are fulfilled.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Compliance with contractual agreements is monitored and verified.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A process for monitoring and verifying service providers is defined and established.
+ Third party service reports and documents are monitored and verified.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ Information security or compliance with security policies among business partners is adequately ensured by means of suitable verifications (e.g. auditing). ,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
16,16 Information Security Incident Management,,,,,,,,4.0.0
16.1,16.1 Reporting system for information security incidents (incident management),3,(Reference to ISO 27001: Control A.16.1.1 – A.16.1.3),1,1,,3,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are responsibilities, procedures, reporting channels and criticality levels established to ensure an effective response to information security incidents or vulnerabilities?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Detection of and defense against security events generally require an effective and consistent approach. For this purpose, the responsibilities and procedures for handling information security events shall be specified in order to ensure a prompt reaction to those events. Suitable reporting channels and awareness of all employees are essential elements of these procedures.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A policy for reporting information security events or vulnerabilities is created including at least the following requirements:
  - Reaction to information security events according to defined levels of criticality
  - report form
  - reporting channel
  - processing organization
  - specifications for feedback procedure
  - indication of technical and organizational measures (such as disciplinary measures)",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ Requirements resulting from business relations (e.g. obligations of reporting to customers) are determined and implemented.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
16.2,16.2 Processing of information security incidents,3,(Reference to ISO 27001: Control A.16.1.4 – A.16.1.7),1,1,,3,4,4.0.0
,,,,,,,,,
,,,<h1>To what extend is the handling of information security events performed?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Information security events shall be assessed. There shall be an adequate reaction to information security events based on defined procedures. In the aftermath of information security events, findings shall be used to reduce the probability of future events occurring.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Procedures for ensuring traceability in case of information security events/vulnerabilities are established and documented.
+ Information security events/vulnerabilities are assessed and documented in order to ensure traceability.
+ An adequate reaction to information security events/vulnerabilities is given.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Information security events/vulnerabilities (problem management) are analyzed.
+ Measures to prevent further occurrence of similar information security events are defined and implemented.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
17,17 Information Security Aspects of Business Continuity Management,,,,,,,,4.0.0
17.1,17.1 Information Security Aspects of Business Continuity Management (BCM),3,(Reference to ISO 27001: Control A.17.1.1 - A.17.1.3 and A.17.2.1),1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are information security requirements (including redundancy of corresponding facilities) and the continuity of the ISMS in the event of a crisis defined, implemented, verified and evaluated?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"In events of crisis, information security is particularly at risk. Therefore, it shall be ensured that even in those cases the defined ISMS measures continue to provide effective protection or previously defined supplementary measures are taken.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Potentially affected IT systems and software are identified.
+ For events of crisis, methods, processes and procedures relevant to information security are taken into account.",,,,,,
